config,family,k_mode,K,shape,beta,dead_zone,floor,ceiling,sat_A,games,brier,log_loss,accuracy
linear_b1_dz0.01_f0.50-c1.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.5,1.5,,11426,0.192767,0.566955,0.7006
linear_b1_dz0.01_f0.50-c1.75|norm,Bounded SRDiff,normalized,78.99,linear,1,0.01,0.5,1.75,,11426,0.187878,0.552433,0.70882
linear_b1_dz0.01_f0.50-c1.75|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.5,1.75,,11426,0.192766,0.56695,0.70051
linear_b1_dz0.01_f0.50-c2.00|norm,Bounded SRDiff,normalized,78.99,linear,1,0.01,0.5,2.0,,11426,0.187878,0.552433,0.70882
linear_b1_dz0.01_f0.50-c2.00|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.5,2.0,,11426,0.192766,0.56695,0.70051
linear_b1_dz0.01_f0.50-c2.25|norm,Bounded SRDiff,normalized,78.99,linear,1,0.01,0.5,2.25,,11426,0.187878,0.552433,0.70882
linear_b1_dz0.01_f0.50-c2.25|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.5,2.25,,11426,0.192766,0.56695,0.70051
linear_b1_dz0.01_f0.50-c2.50|norm,Bounded SRDiff,normalized,78.99,linear,1,0.01,0.5,2.5,,11426,0.187878,0.552433,0.70882
linear_b1_dz0.01_f0.50-c2.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.5,2.5,,11426,0.192766,0.56695,0.70051
linear_b1_dz0.01_f0.60-c1.50|norm,Bounded SRDiff,normalized,78.997,linear,1,0.01,0.6,1.5,,11426,0.187878,0.552433,0.70882
linear_b1_dz0.01_f0.60-c1.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.6,1.5,,11426,0.192767,0.566954,0.7006
linear_b1_dz0.01_f0.60-c1.75|norm,Bounded SRDiff,normalized,78.99,linear,1,0.01,0.6,1.75,,11426,0.187877,0.552431,0.70882
linear_b1_dz0.01_f0.60-c1.75|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.6,1.75,,11426,0.192765,0.566949,0.70051
linear_b1_dz0.01_f0.60-c2.00|norm,Bounded SRDiff,normalized,78.99,linear,1,0.01,0.6,2.0,,11426,0.187877,0.552431,0.70882
linear_b1_dz0.01_f0.60-c2.00|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.6,2.0,,11426,0.192765,0.566949,0.70051
linear_b1_dz0.01_f0.60-c2.25|norm,Bounded SRDiff,normalized,78.99,linear,1,0.01,0.6,2.25,,11426,0.187877,0.552431,0.70882
linear_b1_dz0.01_f0.60-c2.25|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.6,2.25,,11426,0.192765,0.566949,0.70051
linear_b1_dz0.01_f0.60-c2.50|norm,Bounded SRDiff,normalized,78.99,linear,1,0.01,0.6,2.5,,11426,0.187877,0.552431,0.70882
linear_b1_dz0.01_f0.60-c2.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.6,2.5,,11426,0.192765,0.566949,0.70051
linear_b1_dz0.01_f0.70-c1.50|norm,Bounded SRDiff,normalized,78.997,linear,1,0.01,0.7,1.5,,11426,0.187877,0.552432,0.70873
linear_b1_dz0.01_f0.70-c1.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.01,0.7,1.5,,11426,0.192766,0.566953,0.7006
