end_year,window_start,window_end,team_name,coeff_5yr
2022,2018,2022,Nevada,1.691235
2022,2018,2022,Kent State,1.676359
2022,2018,2022,Georgia State,1.533383
2022,2018,2022,UTSA,1.496786
2022,2018,2022,East Carolina,1.379163
2022,2018,2022,Bowling Green,1.362862
2022,2018,2022,Tulsa,1.210918
2022,2018,2022,Vanderbilt,1.196021
2022,2018,2022,Middle Tennessee,1.186274
2022,2018,2022,Arkansas State,1.148079
2022,2018,2022,Western Kentucky,1.138469
2022,2018,2022,Georgia Southern,1.061231
2022,2018,2022,Rutgers,1.031024
2022,2018,2022,Temple,1.010318
2022,2018,2022,San Jose State,0.99666
2022,2018,2022,South Alabama,0.964446
2022,2018,2022,Louisiana Tech,0.887439
2022,2018,2022,Southern Miss,0.814205
2022,2018,2022,North Texas,0.676373
2022,2018,2022,UNLV,0.666939
2022,2018,2022,Akron,0.657839
2022,2018,2022,Old Dominion,0.55085
2022,2018,2022,Rice,0.526731
2022,2018,2022,Colorado State,0.506939
2022,2018,2022,South Florida,0.503533
2022,2018,2022,New Mexico State,0.498873
2022,2018,2022,UConn,0.487791
2022,2018,2022,Charlotte,0.484276
2022,2018,2022,UTEP,0.445516
2022,2018,2022,Texas State,0.389147
2022,2018,2022,New Mexico,0.388154
2022,2018,2022,James Madison,0.339686
2023,2019,2023,Georgia,24.179607
2023,2019,2023,Alabama,21.800164
2023,2019,2023,Michigan,15.213734
2023,2019,2023,LSU,13.260005
2023,2019,2023,Oklahoma,13.088745
2023,2019,2023,Oklahoma State,12.763059
2023,2019,2023,Ohio State,11.646084
2023,2019,2023,Texas,10.911479
2023,2019,2023,Clemson,10.562876
2023,2019,2023,Notre Dame,10.138223
2023,2019,2023,Washington,10.060867
2023,2019,2023,Iowa State,9.866973
2023,2019,2023,Oregon,9.525052
2023,2019,2023,Kansas State,9.083376
2023,2019,2023,TCU,8.781077
2023,2019,2023,Texas A&M,8.224319
2023,2019,2023,Iowa,7.66583
2023,2019,2023,Tennessee,7.359356
2023,2019,2023,Penn State,7.238511
2023,2019,2023,USC,7.009849
2023,2019,2023,Utah,6.896063
2023,2019,2023,Florida,6.891942
2023,2019,2023,Baylor,6.778702
2023,2019,2023,Ole Miss,6.717262
2023,2019,2023,Florida State,6.662205
2023,2019,2023,Auburn,6.153097
2023,2019,2023,Missouri,6.129975
2023,2019,2023,Kentucky,6.068514
2023,2019,2023,Wisconsin,5.954844
2023,2019,2023,West Virginia,5.853482
2023,2019,2023,Louisville,5.743471
2023,2019,2023,Texas Tech,5.661296
2023,2019,2023,NC State,5.572398
2023,2019,2023,Minnesota,5.559765
2023,2019,2023,Mississippi State,5.248405
2023,2019,2023,North Carolina,5.147894
2023,2019,2023,Pittsburgh,4.983179
2023,2019,2023,UCLA,4.980295
2023,2019,2023,Oregon State,4.957812
2023,2019,2023,South Carolina,4.814012
2023,2019,2023,Arkansas,4.548011
2023,2019,2023,Northwestern,4.306712
2023,2019,2023,Air Force,4.283451
2023,2019,2023,Wake Forest,4.172801
2023,2019,2023,Miami (FL),4.144969
2023,2019,2023,Boise State,4.113899
2023,2019,2023,Michigan State,4.075282
2023,2019,2023,Louisiana,4.009917
2023,2019,2023,Arizona,3.808345
2023,2019,2023,Coastal Carolina,3.764046
2023,2019,2023,Cincinnati,3.741025
2023,2019,2023,BYU,3.698373
2023,2019,2023,Purdue,3.647523
2023,2019,2023,Duke,3.471989
2023,2019,2023,Arizona State,3.427629
2023,2019,2023,Maryland,3.420559
2023,2019,2023,Virginia Tech,3.336418
2023,2019,2023,San Diego State,3.31552
2023,2019,2023,UCF,3.279877
2023,2019,2023,Illinois,3.187127
2023,2019,2023,Kansas,3.180756
2023,2019,2023,Liberty,3.116351
2023,2019,2023,Fresno State,3.094653
2023,2019,2023,Memphis,3.008413
2023,2019,2023,Boston College,2.953557
2023,2019,2023,Georgia Tech,2.951362
2023,2019,2023,Wyoming,2.93523
2023,2019,2023,Virginia,2.860857
2023,2019,2023,Tulane,2.85129
2023,2019,2023,California,2.814587
2023,2019,2023,Washington State,2.706009
2023,2019,2023,Syracuse,2.703934
2023,2019,2023,Toledo,2.652272
2023,2019,2023,Utah State,2.533992
2023,2019,2023,Houston,2.518676
2023,2019,2023,Hawai'i,2.482494
2023,2019,2023,Stanford,2.342557
2023,2019,2023,Troy,2.241158
